symbol,name,exchange,sector
AXITA.NS,Axita Cotton Limited,NSE,Consumer Cyclical
AYMSYNTEX.NS,AYM Syntex Limited,NSE,Consumer Cyclical
AZAD.NS,Azad Engineering Limited,NSE,Industrials
BAFNAPH.NS,Bafna Pharmaceuticals Limited,NSE,Healthcare
BAGFILMS.NS,B.A.G Films and Media Limited,NSE,Communication Services
BAIDFIN.NS,Baid Finserv Limited,NSE,Financial Services
BAJAJ-AUTO.NS,Bajaj Auto Limited,NSE,Consumer Cyclical
BAJAJCON.NS,Bajaj Consumer Care Limited,NSE,Consumer Defensive
BAJAJELEC.NS,Bajaj Electricals Limited,NSE,Consumer Cyclical
BAJAJFINSV.NS,Bajaj Finserv Limited,NSE,Financial Services
BAJAJHCARE.NS,Bajaj Healthcare Limited,NSE,Healthcare
BAJAJHFL.NS,Bajaj Housing Finance Limited,NSE,Financial Services
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,NSE,Consumer Defensive
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,NSE,Financial Services
BAJAJINDEF.NS,Indef Manufacturing Limited,NSE,Industrials
BAJEL.NS,Bajel Projects Limited,NSE,Utilities
BAJFINANCE.NS,Bajaj Finance Limited,NSE,Financial Services
BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited,NSE,Consumer Cyclical
BALAJITELE.NS,Balaji Telefilms Limited,NSE,Communication Services
BALAMINES.NS,Balaji Amines Limited,NSE,Basic Materials
BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,NSE,Healthcare
BALKRISHNA.NS,Balkrishna Paper Mills Limited,NSE,Consumer Cyclical
BALKRISIND.NS,Balkrishna Industries Limited,NSE,Consumer Cyclical
BALMLAWRIE.NS,Balmer Lawrie & Company Limited,NSE,Industrials
BALPHARMA.NS,Bal Pharma Limited,NSE,Healthcare
BALRAMCHIN.NS,Balrampur Chini Mills Limited,NSE,Consumer Defensive
BALUFORGE.NS,Balu Forge Industries Limited,NSE,Industrials
BANARBEADS.NS,Banaras Beads Limited,NSE,Consumer Cyclical
BANARISUG.NS,Bannari Amman Sugars Limited,NSE,Consumer Defensive
BANCOINDIA.NS,Banco Products (I) Limited,NSE,Consumer Cyclical
BANDHANBNK.NS,Bandhan Bank Limited,NSE,Financial Services
BANG.NS,Bang Overseas Limited,NSE,Consumer Cyclical
BANKA.NS,Banka BioLoo Limited,NSE,Industrials
BANKBARODA.NS,Bank of Baroda,NSE,Financial Services
BANKINDIA.NS,Bank of India,NSE,Financial Services
BANSALWIRE.NS,Bansal Wire Industries Limited,NSE,Basic Materials
BANSWRAS.NS,Banswara Syntex Limited,NSE,Consumer Cyclical
BASF.NS,BASF India Limited,NSE,Basic Materials
BASML.NS,Bannari Amman Spinning Mills Limited,NSE,Consumer Cyclical
BATAINDIA.NS,Bata India Limited,NSE,Consumer Cyclical
BAYERCROP.NS,Bayer Cropscience Limited,NSE,Basic Materials
BBL.NS,Bharat Bijlee Limited,NSE,Industrials
BBOX.NS,Black Box Limited,NSE,Technology
BBTC.NS,Bombay Burmah Trading Corporation Limited,NSE,Consumer Defensive
BBTCL.NS,B&B Triplewall Containers Limited,NSE,Consumer Cyclical
BCG.NS,Brightcom Group Limited,NSE,Communication Services
BCLIND.NS,Bcl Industries Limited,NSE,Consumer Defensive
BCONCEPTS.NS,Brand Concepts Limited,NSE,Consumer Cyclical
BDL.NS,Bharat Dynamics Limited,NSE,Industrials
BEARDSELL.NS,Beardsell Limited,NSE,Industrials
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,NSE,Consumer Defensive
BEDMUTHA.NS,Bedmutha Industries Limited,NSE,Basic Materials
BEL.NS,Bharat Electronics Limited,NSE,Industrials
BELLACASA.NS,Bella Casa Fashion & Retail Limited,NSE,Consumer Cyclical
BELRISE.NS,Belrise Industries Limited,NSE,Consumer Cyclical
BEML.NS,BEML Limited,NSE,Industrials
BEPL.NS,Bhansali Engineering Polymers Limited,NSE,Basic Materials
BERGEPAINT.NS,Berger Paints (I) Limited,NSE,Basic Materials
BESTAGRO.NS,Best Agrolife Limited,NSE,Basic Materials
BFINVEST.NS,BF Investment Limited,NSE,Financial Services
BFUTILITIE.NS,BF Utilities Limited,NSE,Industrials
BGRENERGY.NS,BGR Energy Systems Limited,NSE,Industrials
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,NSE,Basic Materials
BHAGERIA.NS,Bhageria Industries Limited,NSE,Basic Materials
BHAGYANGR.NS,Bhagyanagar India Limited,NSE,Basic Materials
BHANDARI.NS,Bhandari Hosiery Exports Limited,NSE,Consumer Cyclical
BHARATFORG.NS,Bharat Forge Limited,NSE,Consumer Cyclical
BHARATGEAR.NS,Bharat Gears Limited,NSE,Consumer Cyclical
BHARATRAS.NS,Bharat Rasayan Limited,NSE,Basic Materials
BHARATSE.NS,Bharat Seats Limited,NSE,Consumer Cyclical
BHARATWIRE.NS,Bharat Wire Ropes Limited,NSE,Basic Materials
BHARTIARTL.NS,Bharti Airtel Limited,NSE,Communication Services
BHARTIHEXA.NS,Bharti Hexacom Limited,NSE,Communication Services
BHEL.NS,Bharat Heavy Electricals Limited,NSE,Industrials
BIGBLOC.NS,Bigbloc Construction Limited,NSE,Industrials
BIKAJI.NS,Bikaji Foods International Limited,NSE,Consumer Defensive
BIL.NS,Bhartiya International Limited,NSE,Consumer Cyclical
BILVYAPAR.NS,BIL VYAPAR LIMITED,NSE,Basic Materials
BIOCON.NS,Biocon Limited,NSE,Healthcare
BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited,NSE,Healthcare
BIRLACABLE.NS,Birla Cable Limited,NSE,Technology
BIRLACORPN.NS,Birla Corporation Limited,NSE,Basic Materials
BIRLAMONEY.NS,Aditya Birla Money Limited,NSE,Financial Services
BIRLANU.NS,BirlaNu Limited,NSE,Industrials
BLACKBUCK.NS,BLACKBUCK LIMITED,NSE,Technology
BLAL.NS,BEML Land Assets Limited,NSE,Financial Services
BLBLIMITED.NS,BLB Limited,NSE,Financial Services
BLISSGVS.NS,Bliss GVS Pharma Limited,NSE,Healthcare
BLKASHYAP.NS,B. L. Kashyap and Sons Limited,NSE,Industrials
BLS.NS,BLS International Services Limited,NSE,Industrials
BLSE.NS,BLS E-Services Limited,NSE,Industrials
BLUECOAST.NS,Blue Coast Hotels Limited,NSE,Consumer Cyclical
BLUEDART.NS,Blue Dart Express Limited,NSE,Industrials
BLUEJET.NS,Blue Jet Healthcare Limited,NSE,Healthcare
BLUESTARCO.NS,Blue Star Limited,NSE,Industrials
BLUESTONE.NS,BlueStone Jewellery and Lifestyle Limited,NSE,Consumer Cyclical
BLUSPRING.NS,Bluspring Enterprises Limited,NSE,Industrials
BMWVENTLTD.NS,BMW Ventures Limited,NSE,Basic Materials
BODALCHEM.NS,Bodal Chemicals Limited,NSE,Basic Materials
BOHRAIND.NS,Bohra Industries Limited,NSE,Basic Materials
BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited,NSE,Consumer Cyclical
BORANA.NS,Borana Weaves Limited,NSE,Consumer Cyclical
BOROLTD.NS,Borosil Limited,NSE,Consumer Cyclical
BORORENEW.NS,BOROSIL RENEWABLES LIMITED,NSE,Technology
BOROSCI.NS,Borosil Scientific Limited,NSE,Consumer Cyclical
BOSCHLTD.NS,Bosch Limited,NSE,Consumer Cyclical
BPCL.NS,Bharat Petroleum Corporation Limited,NSE,Energy
BPL.NS,BPL Limited,NSE,Technology
